news_id,company_word,pk,symbol,name,stock_keyword_5
417606,national security,5344,NSEC,National Security Group Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417608,s&p,6958,SPGI,S&P Global Inc,"['stock', 'stockss', 'rebound', 'recovery', 'rebounded']"
417608,nasdaq,5144,NDAQ,Nasdaq Inc,"['stock', 'stockss', 'rebound', 'recovery', 'rebounded']"
417608,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['stock', 'stockss', 'rebound', 'recovery', 'rebounded']"
417622,mizuho,4788,MFG,Mizuho Financial Group Inc,"['tiffany', 'takeover', 'vuitton', 'merger', 'luxury']"
417624,royal dutch,6738,SHEL,Royal Dutch Shell PLC,"['renewable', 'renewables', 'methane', 'fuel', 'gas']"
417624,cnx resources,1785,CNX,CNX Resources Corporation,"['renewable', 'renewables', 'methane', 'fuel', 'gas']"
417624,natural gas,5202,NGS,Natural Gas Services Group Inc,"['renewable', 'renewables', 'methane', 'fuel', 'gas']"
417624,renewable energy,6299,REGI,Renewable Energy Group Inc,"['renewable', 'renewables', 'methane', 'fuel', 'gas']"
417625,facebook,2746,FB,Meta Platforms Inc,"['unemployment', 'unemployed', 'employment', 'employed', 'income']"
417626,toyota,7378,TM,Toyota Motor Corporation,"['hydrogen', 'pollution', 'fuel', 'renewable', 'paris']"
417626,ballard power,1102,BLDP,Ballard Power Systems Inc,"['hydrogen', 'pollution', 'fuel', 'renewable', 'paris']"
417626,carparts,6071,PRTS,CarParts,"['hydrogen', 'pollution', 'fuel', 'renewable', 'paris']"
417626,renewable energy,6299,REGI,Renewable Energy Group Inc,"['hydrogen', 'pollution', 'fuel', 'renewable', 'paris']"
417635,national energy,5169,NESR,National Energy Services Reunited Corp,"['petroleum', 'turkish', 'turkey', 'offshore', 'finance']"
417636,google,3359,GOOG,Alphabet Inc,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417636,alibaba group,859,BABA,Alibaba Group Holding Limited,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417636,suisse group,1937,CS,Credit Suisse Group,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417636,caesars entertainment,2081,CZR,Caesars Entertainment Inc,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417636,digital world,2348,DWAC,Digital World Acquisition Corp,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417636,warburg pincus,8062,WPCA,Warburg Pincus Capital Corporation,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417636,credit suisse,1626,CIK,Credit Suisse Asset Management Income Fund Inc,"['richest', 'wealthiest', 'billionaire', 'investor', 'invest']"
417656,pfizer,5832,PFE,Pfizer Inc,"['astrazeneca', 'vaccine', 'neurological', 'coronavirus', 'myelitis']"
417656,astrazeneca,849,AZN,AstraZeneca PLC,"['astrazeneca', 'vaccine', 'neurological', 'coronavirus', 'myelitis']"
417656,moderna,4970,MRNA,Moderna Inc,"['astrazeneca', 'vaccine', 'neurological', 'coronavirus', 'myelitis']"
417656,biontech,1169,BNTX,BioNTech SE American Depositary Share,"['astrazeneca', 'vaccine', 'neurological', 'coronavirus', 'myelitis']"
417665,boeing,858,BA,Boeing Company (The),"['airbus', 'boeing', 'airline', 'plane']"
417666,microsoft,4996,MSFT,Microsoft Corporation,"['reliance', 'jio', 'ambani', 'invest', 'billionaire']"
417666,google,3359,GOOG,Alphabet Inc,"['reliance', 'jio', 'ambani', 'invest', 'billionaire']"
417666,facebook,2746,FB,Meta Platforms Inc,"['reliance', 'jio', 'ambani', 'invest', 'billionaire']"
417666,amazon,477,AMZN,Amazon,"['reliance', 'jio', 'ambani', 'invest', 'billionaire']"
